gid,favela,2017,2020,2024,osm,temporal,completed
1,FUMAÇA,False,False,False,False,False,0
2,MANUEL ANTÔNIO PORTELLA,False,False,False,False,False,0
3,SANTA AMÉLIA,False,False,False,False,False,0
4,GIOVANNI CARNOVALI,False,False,False,False,False,0
5,FAVELA DAS TORRES,False,False,False,False,False,0
6,VILA DO SAPO,False,False,False,False,False,0
7,PARAISÓPOLIS QUADRA 46,False,False,False,False,False,0
8,VILA DA PAZ VÁRZEA,False,False,False,False,False,0
9,OCUPAÇÃO DOMINIO JACU PESSEGO,False,False,False,False,False,0
10,BAIXOS VIADUTO PACHECO CHAVES - REOCUPAÇÃO,False,False,False,False,False,0
22,JOSÉ ARAGAO,False,False,False,False,False,0
11,FAVELA FAMILIA UNIDA,False,False,False,False,False,0
12,FUNDÃO,False,False,False,False,False,0
13,VICENTE JORGE,False,False,False,False,False,0
14,ASCENSO GONSALVES GIL,False,False,False,False,False,0
15,PARATINIM,False,False,False,False,False,0
16,SUSPIRO,False,False,False,False,False,0
17,PARANAPANEMA V,False,False,False,False,False,0
18,NILDO DO AMARAL JÚNIOR,False,False,False,False,False,0
19,MORRO DOS MACACOS/MATA VIRGEM,False,False,False,False,False,0
20,JOÃO GOMES CARNEIRO II,False,False,False,False,False,0
21,SANTA JOSEFINA,False,False,False,False,False,0
23,JD. WILSON I,False,False,False,False,False,0
24,MADEIRITE,False,False,False,False,False,0
25,NOVA JAGUARÉ II,False,False,False,False,False,0
26,CONDESSA DE SÃO JOAQUIM,False,False,False,False,False,0
27,KAREL BURIAN,False,False,False,False,False,0
28,HUMAITÁ II,False,False,False,False,False,0
29,PEDRO TAQUES PIRES,False,False,False,False,False,0
30,SANTO ANTONIO DO PINHAL,False,False,False,False,False,0
31,MANGUE II,False,False,False,False,False,0
32,BARACELA,False,False,False,False,False,0
33,JOSE LEITE,False,False,False,False,False,0
34,ERUNDINA,False,False,False,False,False,0
54,BEIRA DA LINHA 2,False,False,False,False,False,0
55,DRACENA,False,False,False,False,False,0
56,FREDERICO RENE DE JAEGHER,False,False,False,False,False,0
35,PARANAPANEMA IV,False,False,False,False,False,0
36,PARQUE EUROPA I - VIELA HAMILTON,False,False,False,False,False,0
37,KERALUX,False,False,False,False,False,0
57,MORUMBIZINHO 2,False,False,False,False,False,0
58,JARDIM NOVO HORIZONTE VÁRZEA,False,False,False,False,False,0
38,CABORÉ ITAQUERA,False,False,False,False,False,0
39,SÃO FRANCISCO GLOBAL,False,False,False,False,False,0
40,PARQUE NOVO GRAJAÚ / JOÃO CABANAS,False,False,False,False,False,0
41,FUMAÇA/NEBLINA,False,False,False,False,False,0
42,GASTAO LOPES LEAL,False,False,False,False,False,0
43,GERONIMO ESPEJO,False,False,False,False,False,0
44,PARQUE DO GATO - FAVELA,False,False,False,False,False,0
59,TERRA PROMETIDA,False,False,False,False,False,0
60,JARDIM SÃO LUIS III,False,False,False,False,False,0
226,JARDIM IRACEMA II,False,False,False,False,False,0
45,BARÃO DE ANTONINA - LOTE 11 SETOR 1,False,False,False,False,False,0
46,TORRESMO,False,False,False,False,False,0
47,JOAQUIM MEIRA DE SIQUEIRA - LENDA DO LUAR,False,False,False,False,False,0
48,JARDIM PANORAMA,False,False,False,False,False,0
49,RUA DA MINA,False,False,False,False,False,0
50,LAR NOVO LAR,False,False,False,False,False,0
51,1PS1B - R. VISCONDE DE CAMAMU,False,False,False,False,False,0
52,SÃO MARTINHO VÁRZEA,False,False,False,False,False,0
53,MANUEL DE ANDRADE,False,False,False,False,False,0
61,PARAISÓPOLIS QUADRA 44,False,False,False,False,False,0
62,CRISCIUMA I,False,False,False,False,False,0
63,AFOXE,False,False,False,False,False,0
64,MARGINAL III,False,False,False,False,False,0
65,CHACÁRA DO ENCONTRO,False,False,False,False,False,0
66,DENDEZEIRO,False,False,False,False,False,0
67,JOSE DIAS,False,False,False,False,False,0
68,ESTADO 20,False,False,False,False,False,0
69,TEIXEIRA,False,False,False,False,False,0
70,INHUMAS,False,False,False,False,False,0
71,MAURÍCIO ADLER,False,False,False,False,False,0
72,PARQUE SÃO DOMINGOS,False,False,False,False,False,0
73,ANDRE DA CUNHA FONSECA,False,False,False,False,False,0
74,SANTA ANGELA,False,False,False,False,False,0
75,AFONSO RODRIGUES ADORNO,False,False,False,False,False,0
76,ANTENOR NAVARRO,False,False,False,False,False,0
77,TUNEY ARANTES,False,False,False,False,False,0
78,JARDIM FARIA LIMA,False,False,False,False,False,0
79,ILHA VERDE,False,False,False,False,False,0
80,SUBESTAÇÃO PIRATININGA II,False,False,False,False,False,0
95,FERRO VELHO,False,False,False,False,False,0
81,VIELA ESPERANÇA,False,False,False,False,False,0
82,CACHOEIRA ACARÁ - JARDIM COMERCIAL,False,False,False,False,False,0
83,ABEL MARCIANO II,False,False,False,False,False,0
84,JOSÉ GOES,False,False,False,False,False,0
85,VIOLÃO III,False,False,False,False,False,0
86,JARDIM OLINDA,False,False,False,False,False,0
87,JARDIM GANHAMBU II,False,False,False,False,False,0
88,CEU CIDADE DUTRA,False,False,False,False,False,0
89,ROBERTO PIRES MACIEL,False,False,False,False,False,0
90,ADALBERTO,False,False,False,False,False,0
91,ESTRADA DAS TRES CRUZES,False,False,False,False,False,0
92,BAVARIA,False,False,False,False,False,0
93,CORONEL LUIS ALVES,False,False,False,False,False,0
94,JARDIM WALQUÍRIA II,False,False,False,False,False,0
96,DEBIEUX,False,False,False,False,False,0
97,VILA CISPER ANÍSIO DE ABREU,False,False,False,False,False,0
98,SANTO ANTONIO II,False,False,False,False,False,0
99,PRIMO BERTI,False,False,False,False,False,0
100,LEANDRO TEIXEIRA,False,False,False,False,False,0
101,CENTRAL,False,False,False,False,False,0
102,ARAPIRACA,False,False,False,False,False,0
103,TELECENTRO,False,False,False,False,False,0
104,WALTER FERREIRA,False,False,False,False,False,0
105,VISCONDE RIO GRANDE II,False,False,False,False,False,0
106,JARDIM BANDEIRANTE,False,False,False,False,False,0
107,FAVELA RENDZIMA,False,False,False,False,False,0
108,LENO,False,False,False,False,False,0
109,BARREIRA GRANDE,False,False,False,False,False,0
110,SANTA OLIVIA,False,False,False,False,False,0
111,TRAVESSA PARTICULAR,False,False,False,False,False,0
112,CHACARA NOSSA SENHORA APARECIDA,False,False,False,False,False,0
113,TIRADENTES,False,False,False,False,False,0
114,TACIA,False,False,False,False,False,0
202,RUA DOS CREPIS,False,False,False,False,False,0
115,JARDIM NOVA AMERICA II,False,False,False,False,False,0
116,JARDIM ELIZABETH,False,False,False,False,False,0
117,CAMPOS MELLO III,False,False,False,False,False,0
118,JARDIM D ABRIL II,False,False,False,False,False,0
119,EDGAR VARESE,False,False,False,False,False,0
120,"CHÁCARA SANTANA I, II E III",False,False,False,False,False,0
121,NAVOLATO,False,False,False,False,False,0
122,JARDIM CAMPINAS II,False,False,False,False,False,0
123,HENRIQUE SAM MINDLIN,False,False,False,False,False,0
124,JOÃO PAULO I,False,False,False,False,False,0
125,IPIRÁ,False,False,False,False,False,0
126,SAMUEL KHURI,False,False,False,False,False,0
127,SUCUPIRA,False,False,False,False,False,0
128,JARDIM ANGELA II,False,False,False,False,False,0
129,FRANCISCO ALVES BEZERRA,False,False,False,False,False,0
130,VIELA WALTER,False,False,False,False,False,0
131,FAZENDA DA JUTA,False,False,False,False,False,0
132,NOVE DE JULHO,False,False,False,False,False,0
133,JARDIM ESTER,False,False,False,False,False,0
134,ANTÔNIO CÂNDIDO DE ALVARENGA,False,False,False,False,False,0
135,ÁGUAS DE MARÇO,False,False,False,False,False,0
136,CLAUDIO GONZAGA DE SOUZA,False,False,False,False,False,0
137,JOAQUIM DA COSTA MIRANDA,False,False,False,False,False,0
138,ABÍLIO PEREIRA,False,False,False,False,False,0
139,SÃO CARLOS,False,False,False,False,False,0
140,JARDIM SIDNEY,False,False,False,False,False,0
141,JARDIM LIMOEIRO,False,False,False,False,False,0
142,JARDIM JARAGUÁ I,False,False,False,False,False,0
143,ALTO DA RIVIERA VI,False,False,False,False,False,0
144,JARDIM SANTA FE,False,False,False,False,False,0
145,JOSE MARTINS LISBOA,False,False,False,False,False,0
146,FAVELA DO SAPO,False,False,False,False,False,0
147,NELSON CRUZ,False,False,False,False,False,0
148,DOM CARLOS GOUVEIA,False,False,False,False,False,0
149,AREIAS ALVAS,False,False,False,False,False,0
150,SÃO JOSÉ OPERÁRIO,False,False,False,False,False,0
151,CRISCIUMA II,False,False,False,False,False,0
152,JARDIM RAPOSO TAVARES II,False,False,False,False,False,0
153,ALAMOIQUE,False,False,False,False,False,0
154,DANIEL CERRI I,False,False,False,False,False,0
155,JARDIM SÃO LUIS I,False,False,False,False,False,0
156,DARZAN,False,False,False,False,False,0
157,QUADRA DE FUTEBOL,False,False,False,False,False,0
158,TIBIRIÇÁ,False,False,False,False,False,0
159,GABRIEL DE LARA,False,False,False,False,False,0
160,MENINO JESUS DE PRAGA,False,False,False,False,False,0
161,ENLEVO,False,False,False,False,False,0
162,IV CENTENÁRIO,False,False,False,False,False,0
212,SIMBOLO,False,False,False,False,False,0
163,PALMA DE SANTA RITA,False,False,False,False,False,0
164,GREGÓRIO BEZERRA,False,False,False,False,False,0
165,PARQUE NOVO SANTO AMARO VI,False,False,False,False,False,0
166,LUNA,False,False,False,False,False,0
167,JARDIM ORION,False,False,False,False,False,0
